company_slug,company_name,singapore_presence_evidence_url,careers_url,provider,board_identifier,public_access,provider_feasible,total_postings_observed,singapore_postings_observed,singapore_internships_observed,evidence_url,observed_at,notes
accenture,Accenture,https://www.accenture.com/sg-en/careers,https://accenture.wd103.myworkdayjobs.com/en-US/AccentureCareers,workday,accenture/AccentureCareers,yes,true,2000,185,7,https://accenture.wd103.myworkdayjobs.com/wday/cxs/accenture/AccentureCareers/jobs,2026-09-14T03:52:13Z,"Public Workday JSON returned HTTP 200 with pagination and Singapore facet. Internship count is the observed public board text query internship, not a semantic classifier."
disney,The Walt Disney Company,https://disney.wd5.myworkdayjobs.com/en-US/disneycareer/job/Intern--Employer-Branding---Talent-Acquisition---Sep-2026-to-Jan-2027_10159710,https://disney.wd5.myworkdayjobs.com/en-US/disneycareer,workday,disney/disneycareer,yes,true,619,14,7,https://disney.wd5.myworkdayjobs.com/wday/cxs/disney/disneycareer/jobs,2026-09-14T03:52:13Z,"Public Workday JSON returned HTTP 200 with pagination and Singapore facet. Internship count is the observed public board text query internship, not a semantic classifier."
keppel,Keppel,https://www.keppel.com/careers,https://keppel.wd3.myworkdayjobs.com/en-US/KeppelCareers,workday,keppel/KeppelCareers,yes,true,210,162,88,https://keppel.wd3.myworkdayjobs.com/wday/cxs/keppel/KeppelCareers/jobs,2026-09-14T03:52:13Z,"Public Workday JSON returned HTTP 200 with pagination and Singapore facet. Internship count is the observed public board text query internship, not a semantic classifier."
shell,Shell,https://shell.wd3.myworkdayjobs.com/en-US/ShellCareers/job/Singapore---Metropolis/Shell-Assessed-Internship-Programme-2027---Singapore_R205151,https://shell.wd3.myworkdayjobs.com/en-US/ShellCareers,workday,shell/ShellCareers,yes,true,142,3,0,https://shell.wd3.myworkdayjobs.com/wday/cxs/shell/ShellCareers/jobs,2026-09-14T03:52:13Z,"Public Workday JSON returned HTTP 200 with pagination and Singapore facet. No posting matched the exact public board text query internship at observation time."
shopback,ShopBack,https://jobs.lever.co/shopback-2?commitment=Intern,https://jobs.lever.co/shopback-2?commitment=Intern,lever,shopback-2,yes,true,82,21,8,https://api.lever.co/v0/postings/shopback-2?mode=json,2026-09-14T03:52:13Z,"Public Lever JSON was enumerated. Singapore counts use public location fields and internship counts use public commitment or title and description text."
ninjavan,Ninja Van,https://www.ninjavan.co/en-sg/company/careers,https://jobs.lever.co/ninjavan?location=Singapore%2C+Singapore,lever,ninjavan,yes,true,157,14,0,https://api.lever.co/v0/postings/ninjavan?mode=json,2026-09-14T03:52:13Z,"Public Lever JSON was enumerated. Singapore counts use public location fields and internship counts use public commitment or title and description text."
nium,Nium,https://www.nium.com/careers,https://jobs.lever.co/nium?location=Singapore,lever,nium,yes,true,28,3,0,https://api.lever.co/v0/postings/nium?mode=json,2026-09-14T03:52:13Z,"Public Lever JSON was enumerated. Singapore counts use public location fields and internship counts use public commitment or title and description text."
portcast,Portcast,https://jobs.lever.co/portcast/f18cc64e-c34a-416c-b213-62a39906260e/apply,https://jobs.lever.co/portcast,lever,portcast,yes,true,9,7,1,https://api.lever.co/v0/postings/portcast?mode=json,2026-09-14T03:52:13Z,"Public Lever JSON was enumerated. Singapore counts use public location fields and internship counts use public commitment or title and description text."
cloudflare,Cloudflare,https://www.cloudflare.com/careers/jobs/,https://job-boards.greenhouse.io/cloudflare/jobs/6933118,greenhouse,cloudflare,yes,true,355,32,0,https://boards-api.greenhouse.io/v1/boards/cloudflare/jobs?content=true,2026-09-14T03:52:13Z,"Public Greenhouse JSON was enumerated. Singapore counts use public location text. No current posting matched the internship title query at observation time."
coinbase,Coinbase,https://www.coinbase.com/en-sg/careers,https://www.coinbase.com/careers/positions/8067033,greenhouse,coinbase,yes,true,217,6,0,https://boards-api.greenhouse.io/v1/boards/coinbase/jobs?content=true,2026-09-14T03:52:13Z,"Public Greenhouse JSON was enumerated. Singapore counts use public location text. No current posting matched the internship title query at observation time."
airwallex,Airwallex,https://www.airwallex.com/careers,https://jobs.ashbyhq.com/airwallex/6cdb0f39-234a-4234-b1f1-cb48a1fa2795?embed=js,ashby,airwallex,partial,false,2,2,2,https://jobs.ashbyhq.com/airwallex/6cdb0f39-234a-4234-b1f1-cb48a1fa2795?embed=js,2026-09-14T03:52:13Z,"Two public Singapore internship pages were observed. Board enumeration was not measured, so Ashby is marked infeasible for the first adapter pair."
dbs,DBS,https://www.dbs.com/careers/default.page,https://dbs.taleo.net/careersection/dbs_professional_hires_career_section/jobsearch.ftl?lang=en,other,dbs_professional_hires_career_section,yes,false,0,0,0,https://dbs.taleo.net/careersection/dbs_professional_hires_career_section/jobsearch.ftl?lang=en,2026-09-14T03:52:13Z,"Official Singapore careers page and public Taleo search were observed. Counts were not normalized because this audit only records measured adapter API inventories."
ocbc,OCBC,https://www.ocbc.com/group/careers/your-career-at-ocbc.html,https://www.ocbc.com/group/careers/opportunities-available.html,unknown,,blocked,false,0,0,0,https://www.ocbc.com/group/careers/opportunities-available.html,2026-09-14T03:52:13Z,"Official careers pages visibly describe Singapore opportunities and internships. Public ATS inventory was not enumerated during this audit."
uob,UOB,https://www.uobgroup.com/careers/early-careers/index.page,https://www.uobgroup.com/careers/early-careers/index.page,unknown,,blocked,false,0,0,0,https://www.uobgroup.com/careers/early-careers/index.page,2026-09-14T03:52:13Z,"Official early careers page visibly offers Singapore year-round internships. Public ATS inventory was not enumerated during this audit."
grab,Grab,https://www.grab.careers/en/locations/singapore/,https://careers.smartrecruiters.com/Grab?location=Singapore,other,Grab,yes,false,0,0,0,https://careers.smartrecruiters.com/Grab?location=Singapore,2026-09-14T03:52:13Z,"Official Grab careers page visibly lists Singapore roles and internships, and the public SmartRecruiters page is accessible. Counts were not normalized for an adapter decision."
sea,Sea,https://www.sea.com/careers,https://www.sea.com/careers,unknown,,blocked,false,0,0,0,https://www.sea.com/careers,2026-09-14T03:52:13Z,"Official careers page identifies Singapore operations. Public ATS inventory was not enumerated during this audit."
shopee,Shopee,https://help.shopee.sg/portal/4/article/76939-%5BOthers%5D-How-do-I-apply-to-a-job-with-Shopee,https://careers.shopee.sg/,unknown,careers.shopee.sg,partial,false,0,0,0,https://careers.shopee.sg/,2026-09-14T03:52:13Z,"Shopee Help Center identifies careers.shopee.sg as the official application site with location filters. Inventory was not enumerated during this audit."
bytedance,ByteDance,https://jobs.bytedance.com/en/position?category=6704215913488451847,https://jobs.bytedance.com/en/position?category=6704215913488451847,unknown,bytedance,partial,false,0,0,0,https://jobs.bytedance.com/en/position?category=6704215913488451847,2026-09-14T03:52:13Z,"Public ByteDance careers search and Singapore early-career material were observed. Stable public inventory enumeration was not completed."
govtech-singapore,GovTech Singapore,https://www.tech.gov.sg/careers/,https://www.tech.gov.sg/careers/,other,careers.gov.sg,partial,false,0,0,0,https://www.tech.gov.sg/careers/,2026-09-14T03:52:13Z,"Official careers page visibly offers Singapore careers and links students and graduates to Careers@Gov. Public inventory was not enumerated."
st-engineering,ST Engineering,https://www.stengg.com/en/careers,https://www.stengg.com/en/careers,other,stengg-careers,partial,false,0,0,0,https://www.stengg.com/en/careers,2026-09-14T03:52:13Z,"Official careers page visibly offers jobs in Singapore and internships. Public inventory was not enumerated during this audit."
singtel,Singtel,https://groupcareers.singtel.com/go/Jobs-at-Singtel/4567910/?q=&sortColumn=sort_department&sortDirection=asc,https://groupcareers.singtel.com/go/Jobs-at-Singtel/4567910/,other,groupcareers.singtel.com,yes,false,468,0,0,https://groupcareers.singtel.com/go/Jobs-at-Singtel/4567910/?q=&sortColumn=sort_department&sortDirection=asc,2026-09-14T03:52:13Z,"Public Oracle-style careers page displayed 468 results in the observed category page. Singapore and internship totals were not normalized, so they remain zero rather than being inferred."
ncs,NCS,https://www.ncs.co/en-sg/careers/,https://www.ncs.co/en-sg/careers/,unknown,,blocked,false,0,0,0,https://www.ncs.co/en-sg/careers/,2026-09-14T03:52:13Z,"Official NCS careers page visibly offers Singapore jobs and internships. Public ATS inventory was not enumerated during this audit."
singapore-airlines,Singapore Airlines,https://careers.singaporeair.com/,https://careers.singaporeair.com/,other,singaporeair-careers,partial,false,0,0,0,https://careers.singaporeair.com/,2026-09-14T03:52:13Z,"Official careers portal was observed, including Singapore career material. Public inventory was not enumerated during this audit."
changi-airport-group,Changi Airport Group,https://www.changiairport.com/en/careers.html,https://jobs.changiairport.com/cag/go/Airport-Management/7936910/,other,cag/go/Airport-Management/7936910,yes,false,30,30,0,https://jobs.changiairport.com/cag/go/Airport-Management/7936910/?sortColumn=sort_facility&sortDirection=asc,2026-09-14T03:52:13Z,"Public careers page displayed Results 1-25 of 30 for the observed Airport Management category. The category was not treated as a universal employer inventory."
temasek,Temasek,https://www.temasek.com.sg/en/about-us/careers,https://jobs.temasek.com.sg/,other,jobs.temasek.com.sg,yes,false,0,0,0,https://jobs.temasek.com.sg/,2026-09-14T03:52:13Z,"Official Temasek careers page identifies Singapore early-career opportunities and links the public jobs portal. Inventory was not enumerated during this audit."
gic,GIC,https://careers.gic.com.sg/content/gip/,https://careers.gic.com.sg/go/Future-Ready-Jobs/1359101/careers.gic.com.sg/,other,Future-Ready-Jobs,yes,false,10,8,0,https://careers.gic.com.sg/go/Future-Ready-Jobs/1359101/careers.gic.com.sg/,2026-09-14T03:52:13Z,"Public careers page listed 10 most recent jobs, 8 with Singapore locations, at observation time. This is a dated sample, not a complete inventory."
standard-chartered,Standard Chartered,https://www.sc.com/en/global-careers/experienced-hire/spotlight-career-opportunities/singapore/,https://www.sc.com/en/global-careers/experienced-hire/spotlight-career-opportunities/singapore/,unknown,,blocked,false,0,0,0,https://www.sc.com/en/global-careers/experienced-hire/spotlight-career-opportunities/singapore/,2026-09-14T03:52:13Z,"Official Singapore careers page verifies the employer's Singapore operations. Public ATS inventory was not enumerated during this audit."
citi,Citi,https://jobs.citi.com/location/singapore/27866/1880251/2/5,https://jobs.citi.com/location/singapore/27866/1880251/2/5,other,jobs.citi.com,yes,false,138,138,9,https://jobs.citi.com/location/singapore/27866/1880251/2/5,2026-09-14T03:52:13Z,"Public Citi search displayed 138 jobs in Singapore and an Early Career facet with 9 results. This dated sample was not used as an adapter API measurement."
jpmorgan,JPMorgan Chase,https://careers.jpmorgan.com/JP/ja/about-us/locations/singapore,https://careers.jpmorgan.com/JP/ja/about-us/locations/singapore,other,careers.jpmorgan.com,partial,false,0,0,0,https://careers.jpmorgan.com/JP/ja/about-us/locations/singapore,2026-09-14T03:52:13Z,"Official Singapore jobs and internships location page was observed. Public inventory was not enumerated during this audit."
goldman-sachs,Goldman Sachs,https://www.goldmansachs.com/worldwide/singapore/careers,https://www.goldmansachs.com/worldwide/singapore/careers,other,goldmansachs.com/singapore,yes,false,0,0,0,https://www.goldmansachs.com/worldwide/singapore/careers,2026-09-14T03:52:13Z,"Official Singapore careers page visibly offers open roles and student programs. Public inventory was not enumerated during this audit."
morgan-stanley,Morgan Stanley,https://www.morganstanley.com/about-us/global-offices/asia-pacific/singapore,https://www.morganstanley.com/careers/career-opportunities-search?opportunity=sg,other,morganstanley.com,yes,false,34,34,0,https://www.morganstanley.com/careers/career-opportunities-search?opportunity=sg,2026-09-14T03:52:13Z,"Public Singapore opportunity search displayed 34 results. The page describes internships and student programs, but no internship count was inferred from the total."
